[System]
Platform=SEANO USV
Start_Time=2026-05-02 08:50:16
Timezone=WIB

[Sensor]
Name=GPS

[Columns]
Timestamp(WIB)	Latitude	Longitude	Altitude

[Data]
2026-05-02 08:51:12.846	-6.8133724	107.6433779	1187.2435084640047
2026-05-02 08:51:13.352	-6.8133723	107.6433779	1187.2335078727654
2026-05-02 08:51:13.847	-6.8133719	107.6433778	1187.263505448034
2026-05-02 08:51:14.355	-6.8133716	107.6433776	1187.3135035547682
2026-05-02 08:51:14.844	-6.8133714	107.6433775	1187.3835023125155
2026-05-02 08:51:15.356	-6.8133713	107.6433773	1187.433501601728
2026-05-02 08:51:15.845	-6.8133711	107.6433771	1187.473500299701
2026-05-02 08:51:16.352	-6.813371	107.643377	1187.5134996486872
2026-05-02 08:51:16.842	-6.8133708	107.6433769	1187.5334984064339
2026-05-02 08:51:17.348	-6.8133707	107.6433769	1187.5334978151943
2026-05-02 08:51:17.846	-6.8133707	107.6433767	1187.5134976956458
2026-05-02 08:51:18.346	-6.8133709	107.6433767	1187.493498878125
2026-05-02 08:51:18.843	-6.8133711	107.6433767	1187.4735000606042
2026-05-02 08:51:19.344	-6.8133711	107.6433767	1187.4635000606042
2026-05-02 08:51:19.844	-6.8133714	107.6433767	1187.3635018343232
2026-05-02 08:51:20.349	-6.8133713	107.6433767	1187.3535012430834
2026-05-02 08:51:20.842	-6.8133715	107.6433768	1187.2535024853369
2026-05-02 08:51:21.344	-6.8133715	107.6433768	1187.203502485337
2026-05-02 08:51:21.844	-6.8133716	107.6433767	1187.1535030168025
2026-05-02 08:51:22.355	-6.8133717	107.6433766	1187.133503548268
2026-05-02 08:51:22.842	-6.8133717	107.6433765	1187.103503488494
2026-05-02 08:51:23.351	-6.8133715	107.6433766	1187.1235023657887
2026-05-02 08:51:23.850	-6.8133716	107.6433766	1187.1135029570282
2026-05-02 08:51:24.350	-6.8133714	107.6433765	1187.1135017147747
2026-05-02 08:51:24.847	-6.8133703	107.6433766	1187.1234952709133
2026-05-02 08:51:25.355	-6.8133693	107.6433768	1187.1034894780682
2026-05-02 08:51:25.850	-6.8133677	107.6433767	1187.1034799584656
2026-05-02 08:51:26.347	-6.8133667	107.6433766	1187.1034739862994
2026-05-02 08:51:26.849	-6.8133657	107.6433765	1187.1434680141342
2026-05-02 08:51:27.349	-6.8133651	107.6433759	1187.1034641080441
2026-05-02 08:51:27.842	-6.8133645	107.643375	1187.123460022621
2026-05-02 08:51:28.349	-6.8133643	107.6433743	1187.113458421704
2026-05-02 08:51:28.842	-6.813364	107.6433735	1187.0934561697677
2026-05-02 08:51:29.356	-6.8133639	107.6433733	1187.0934554589733
2026-05-02 08:51:29.842	-6.8133644	107.6433735	1187.0134585347257
2026-05-02 08:51:30.350	-6.8133644	107.6433734	1187.0534584749485
2026-05-02 08:51:30.846	-6.8133645	107.6433731	1187.043458886856
2026-05-02 08:51:31.348	-6.8133643	107.6433728	1187.0734575250438
2026-05-02 08:51:31.843	-6.8133645	107.6433725	1187.0834585281905
2026-05-02 08:51:32.357	-6.8133644	107.6433723	1187.1334578173953
2026-05-02 08:51:32.846	-6.8133642	107.643372	1187.1834564555818
2026-05-02 08:51:33.343	-6.813364	107.6433717	1187.1734550937679
2026-05-02 08:51:33.843	-6.8133635	107.6433711	1187.183451778898
2026-05-02 08:51:34.352	-6.813363	107.6433707	1187.213448583583
2026-05-02 08:51:34.842	-6.8133627	107.6433704	1187.2334466305258
2026-05-02 08:51:35.351	-6.8133626	107.6433703	1187.2334459795065
2026-05-02 08:51:35.847	-6.8133625	107.6433701	1187.2034452687083
2026-05-02 08:51:36.356	-6.8133622	107.6433699	1187.2034433754293
2026-05-02 08:51:36.846	-6.8133617	107.6433696	1187.1634402398897
2026-05-02 08:51:37.351	-6.8133615	107.6433692	1187.1134388182907
2026-05-02 08:51:37.847	-6.8133607	107.6433694	1187.013434207928
2026-05-02 08:51:38.353	-6.8133603	107.6433693	1187.0134317831873
2026-05-02 08:51:38.851	-6.8133598	107.6433689	1187.0834285878657
2026-05-02 08:51:39.351	-6.8133595	107.6433685	1187.1134265750236
2026-05-02 08:51:39.844	-6.813359	107.6433682	1187.1134234394804
2026-05-02 08:51:40.358	-6.8133587	107.6433681	1187.0734216059784
2026-05-02 08:51:40.847	-6.8133587	107.6433679	1187.0134214864167
2026-05-02 08:51:41.356	-6.8133586	107.6433676	1186.9434207158333
2026-05-02 08:51:41.842	-6.8133587	107.6433672	1186.8734210679493
2026-05-02 08:51:42.344	-6.8133586	107.6433672	1186.8534204767086
2026-05-02 08:51:42.841	-6.8133585	107.6433673	1186.8234199452493
2026-05-02 08:51:43.343	-6.8133584	107.6433674	1186.81341941379
2026-05-02 08:51:43.847	-6.8133583	107.6433677	1186.8034190018932
2026-05-02 08:51:44.353	-6.8133582	107.6433677	1186.753418410653
2026-05-02 08:51:44.844	-6.8133581	107.6433677	1186.7534178194126
2026-05-02 08:51:45.348	-6.8133581	107.6433677	1186.7434178194126
2026-05-02 08:51:45.842	-6.8133581	107.6433676	1186.6934177596313
2026-05-02 08:51:46.350	-6.8133579	107.6433675	1186.6434165173696
2026-05-02 08:51:46.842	-6.8133579	107.643367	1186.6034162184624
2026-05-02 08:51:47.348	-6.813358	107.6433668	1186.5434166901398
2026-05-02 08:51:47.841	-6.8133583	107.6433667	1186.4234184040802
2026-05-02 08:51:48.339	-6.8133585	107.6433666	1186.3634195267798
2026-05-02 08:51:48.843	-6.8133587	107.6433664	1186.3034205896981
2026-05-02 08:51:49.348	-6.8133588	107.6433663	1186.2634211211575
2026-05-02 08:51:49.842	-6.8133589	107.6433664	1186.2534217721798
2026-05-02 08:51:50.350	-6.8133589	107.6433666	1186.2334218917426
2026-05-02 08:51:50.843	-6.8133589	107.6433668	1186.1634220113053
2026-05-02 08:51:51.347	-6.813359	107.6433669	1186.0834226623272
2026-05-02 08:51:51.840	-6.813359	107.6433673	1186.0034229014518
2026-05-02 08:51:52.359	-6.813359	107.6433677	1185.923423140576
2026-05-02 08:51:52.841	-6.8133592	107.6433682	1185.8234246219606
2026-05-02 08:51:53.345	-6.8133592	107.6433685	1185.7634248013028
2026-05-02 08:51:53.842	-6.8133593	107.643369	1185.7034256914455
2026-05-02 08:51:54.351	-6.8133593	107.643369	1185.6534256914456
2026-05-02 08:51:54.843	-6.8133594	107.6433689	1185.5934262229052
2026-05-02 08:51:55.348	-6.8133594	107.643369	1185.5934262826856
2026-05-02 08:51:55.844	-6.8133594	107.6433693	1185.6034264620266
